place,heat,lane,name,team,reaction_time,time,dq,event,split_50,split_100,split_150,split_200,split_250,split_300,split_350,split_400,split_450,split_500,split_550,split_600,split_650,split_700,split_750,split_800,split_850,split_900,split_950,split_1000,split_1050,split_1100,split_1150,split_1200,split_1250,split_1300,split_1350,split_1400,split_1450,split_1500,relay_swimmer_1,relay_swimmer_2,relay_swimmer_3,relay_swimmer_4,relay_swimmer_1_gender,relay_swimmer_2_gender,relay_swimmer_3_gender,relay_swimmer_4_gender,ave_split
3.0,final,4.0,MURPHY Ryan,USA,0.52,52.19,0.0,men 100m backstroke,25.26,26.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1
1.0,final,4.0,DRESSEL Caeleb,USA,0.6,49.45,0.0,men 100m butterfly,23.0,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.72
1.0,final,5.0,DRESSEL Caeleb,USA,0.6,47.02,0.0,men 100m freestyle,22.39,24.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.51
1.0,final,5.0,FINKE Robert,USA,0.75,879.65,0.0,men 1500m freestyle,27.45,29.38,29.25,29.64,29.4,29.83,29.65,29.73,29.54,29.56,29.54,29.64,29.65,29.68,29.64,29.69,29.64,29.55,29.53,29.55,29.56,29.3,29.59,29.54,29.42,29.5,29.4,29.42,28.6,25.78,,,,,,,,,29.32
2.0,final,3.0,MURPHY Ryan,USA,0.54,114.15,0.0,men 200m backstroke,27.11,28.52,29.02,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.54
3.0,final,7.0,SMITH Kieran,USA,0.69,223.94,0.0,men 400m freestyle,25.5,28.13,28.51,28.78,28.73,28.66,28.5,27.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99
1.0,final,3.0,KALISZ Chase,USA,0.73,249.42,0.0,men 400m individual medley,26.27,29.96,32.36,31.74,34.02,35.12,30.3,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.18
2.0,final,7.0,LITHERLAND Jay,USA,0.71,250.28,0.0,men 400m individual medley,26.38,30.27,32.76,31.6,36.04,36.51,28.76,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.28
1.0,final,4.0,DRESSEL Caeleb,USA,0.63,21.07,0.0,men 50m freestyle,21.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.07
1.0,final,3.0,FINKE Robert,USA,0.75,461.87,0.0,men 800m freestyle,27.23,29.19,29.36,29.19,29.25,29.3,29.29,29.16,29.32,29.34,29.11,29.22,29.18,28.75,28.59,26.39,,,,,,,,,,,,,,,,,,,,,,,28.87
3.0,final,4.0,SMITH Regan,USA,0.59,58.05,0.0,women 100m backstroke,28.24,29.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.02
1.0,final,3.0,JACOBY Lydia,USA,0.67,64.95,0.0,women 100m breaststroke,30.74,34.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48
3.0,final,5.0,KING Lilly,USA,0.65,65.54,0.0,women 100m breaststroke,30.71,34.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.77
1.0,final,4.0,LEDECKY Kathleen,USA,0.64,937.34,0.0,women 1500m freestyle,28.52,30.6,31.11,30.95,31.21,31.46,31.29,31.84,31.51,31.3,31.27,31.47,31.17,31.3,31.36,31.56,31.26,31.61,31.1,31.69,31.43,31.55,31.66,31.84,31.52,31.82,31.48,31.67,30.84,29.95,,,,,,,,,31.24
2.0,final,3.0,SULLIVAN Erica,USA,0.6,941.41,0.0,women 1500m freestyle,29.68,31.56,31.67,31.97,32.21,32.01,31.82,31.81,31.7,31.56,31.45,31.43,31.33,31.37,31.49,31.34,31.52,31.43,31.33,31.5,31.25,31.37,31.08,31.2,31.13,31.12,31.03,31.07,31.2,30.78,,,,,,,,,31.38
2.0,final,6.0,SMITH Regan,USA,0.7,125.3,0.0,women 200m butterfly,28.12,32.27,32.81,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.32
3.0,final,5.0,FLICKINGER Hali,USA,0.7,125.65,0.0,women 200m butterfly,28.43,31.43,32.51,33.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.41
2.0,final,2.0,KING Lilly,USA,0.65,139.92,0.0,women 200m breaststroke,31.27,35.2,36.1,37.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.98
3.0,final,3.0,LAZOR Annie,USA,0.73,140.84,0.0,women 200m breaststroke,32.73,35.88,36.12,36.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.21
2.0,final,3.0,WALSH Alex,USA,0.72,128.65,0.0,women 200m individual medley,27.98,32.68,37.04,30.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.16
3.0,final,4.0,DOUGLASS Kate,USA,0.69,129.04,0.0,women 200m individual medley,27.43,33.93,36.87,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.26
2.0,final,4.0,LEDECKY Kathleen,USA,0.66,237.36,0.0,women 400m freestyle,28.01,29.66,29.67,30.1,30.02,30.65,30.13,29.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.67
2.0,final,4.0,WEYANT Emma,USA,0.79,272.76,0.0,women 400m individual medley,29.75,33.24,35.24,34.22,39.07,39.1,31.45,30.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1
3.0,final,2.0,FLICKINGER Hali,USA,0.71,274.9,0.0,women 400m individual medley,29.1,32.72,35.56,34.39,40.41,40.85,31.42,30.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.36
1.0,final,4.0,LEDECKY Kathleen,USA,0.65,492.57,0.0,women 800m freestyle,28.21,30.22,30.77,30.86,31.01,31.12,31.31,31.2,31.14,31.16,31.17,31.11,30.86,30.94,31.14,30.35,,,,,,,,,,,,,,,,,,,,,,,30.79
